Players	Avg eff	Num of games	Link
Dr_Kakashi, IAMJEFF, piper	1.79	1	https://hanab.live/history/Dr_Kakashi/IAMJEFF/piper
Dr_Kakashi, kimbifille, kooolant, padi, scharkbite, TimeHoodie	1.79	1	https://hanab.live/history/Dr_Kakashi/kimbifille/kooolant/padi/scharkbite/TimeHoodie
Floriman, Kyle, scharkbite, Zakisan	1.79	1	https://hanab.live/history/Floriman/Kyle/scharkbite/Zakisan
Floriman, lotem, TimeHoodie	1.79	1	https://hanab.live/history/Floriman/lotem/TimeHoodie
Floriman, newduke, ReaverSe	1.79	1	https://hanab.live/history/Floriman/newduke/ReaverSe
HelanaAshryvr, Kyle, TimeHoodie	1.79	1	https://hanab.live/history/HelanaAshryvr/Kyle/TimeHoodie
HelanaAshryvr, MarkusKahlsen, pianoblook, TimeHoodie	1.79	1	https://hanab.live/history/HelanaAshryvr/MarkusKahlsen/pianoblook/TimeHoodie
IAMJEFF, Lel0uch, melwen, Sturm	1.79	1	https://hanab.live/history/IAMJEFF/Lel0uch/melwen/Sturm
IAMJEFF, micerang, scharkbite, Valetta6789	1.79	1	https://hanab.live/history/IAMJEFF/micerang/scharkbite/Valetta6789
JackSnack, jmrtz, micerang, Yaike	1.79	1	https://hanab.live/history/JackSnack/jmrtz/micerang/Yaike
James, kevincaseytdk1, plus	1.79	1	https://hanab.live/history/James/kevincaseytdk1/plus
Kyle, MarkusKahlsen, robense	1.79	1	https://hanab.live/history/Kyle/MarkusKahlsen/robense
Kyle, Pablo-, plus	1.79	1	https://hanab.live/history/Kyle/Pablo-/plus
Lanvin, Lel0uch, MarkusKahlsen, TheDaniMan	1.79	1	https://hanab.live/history/Lanvin/Lel0uch/MarkusKahlsen/TheDaniMan
Lanvin, Lel0uch, melwen, sin_faith	1.79	1	https://hanab.live/history/Lanvin/Lel0uch/melwen/sin_faith
Lanvin, nitawa, Nitrate2, Sucubis	1.79	1	https://hanab.live/history/Lanvin/nitawa/Nitrate2/Sucubis
Lanvin, nitawa, Pablo-, sin_faith	1.79	1	https://hanab.live/history/Lanvin/nitawa/Pablo-/sin_faith
Lel0uch, Sucubis, TimeHoodie	1.79	1	https://hanab.live/history/Lel0uch/Sucubis/TimeHoodie
Lel0uch, nitawa, Nitrate2, sin_faith, Sucubis	1.79	1	https://hanab.live/history/Lel0uch/nitawa/Nitrate2/sin_faith/Sucubis
Libster, NoMercy, Razgovor	1.79	1	https://hanab.live/history/Libster/NoMercy/Razgovor
MangoPie, rz, wump	1.79	1	https://hanab.live/history/MangoPie/rz/wump
MarkusKahlsen, Pablo-, sephiroth	1.79	1	https://hanab.live/history/MarkusKahlsen/Pablo-/sephiroth
Nitrate, Pablo-, Sucubis	1.79	1	https://hanab.live/history/Nitrate/Pablo-/Sucubis
Onen, ricardodd, rz	1.79	1	https://hanab.live/history/Onen/ricardodd/rz
Ramanujan1729, str8tsknacker, wump	1.79	1	https://hanab.live/history/Ramanujan1729/str8tsknacker/wump
ace201, Andreasz, newduke	1.79	1	https://hanab.live/history/ace201/Andreasz/newduke
ace201, IAMJEFF, newduke, omegaxis	1.79	1	https://hanab.live/history/ace201/IAMJEFF/newduke/omegaxis
ace201, dobi, mestrepoke, ReaverSe	1.79	1	https://hanab.live/history/ace201/dobi/mestrepoke/ReaverSe
ace201, jeff10, newduke	1.79	1	https://hanab.live/history/ace201/jeff10/newduke
ace201, kimbifille, Lanvin, TimeHoodie	1.79	1	https://hanab.live/history/ace201/kimbifille/Lanvin/TimeHoodie
ace201, newduke, ReaverSe, Sturm	1.79	1	https://hanab.live/history/ace201/newduke/ReaverSe/Sturm
ace201, omegaxis, TheDaniMan	1.79	1	https://hanab.live/history/ace201/omegaxis/TheDaniMan
aitch2, dobi, HelanaAshryvr, Lanvin	1.79	1	https://hanab.live/history/aitch2/dobi/HelanaAshryvr/Lanvin
antitelharsic, Razvogor, Valetta6789	1.79	1	https://hanab.live/history/antitelharsic/Razvogor/Valetta6789
