variant	count
Rainbow-Fives & Black (6 Suits)	49
Null-Ones & Null (3 Suits)	49
Rainbow-Ones & Pink (4 Suits)	49
Null & Gray (5 Suits)	49
Light Pink & Dark Rainbow (5 Suits)	48
Muddy Rainbow & Dark Rainbow (6 Suits)	48
Null & Dark Omni (6 Suits)	48
Brown & Dark Null (5 Suits)	48
Totally Blind (4 Suits)	48
Throw It in a Hole & White (6 Suits)	48
Null-Ones (6 Suits)	48
Deceptive-Ones & Black (6 Suits)	48
Omni-Fives & Dark Rainbow (5 Suits)	47
Number Mute (6 Suits)	47
Light Pink & Gray (6 Suits)	47
Brown & Prism (4 Suits)	47
Pink & Light Pink (3 Suits)	47
White & Muddy Rainbow (3 Suits)	47
Muddy Rainbow & Gray Pink (5 Suits)	47
Pink-Fives & Black (6 Suits)	47
Brown & Null (5 Suits)	46
Pink & Null (4 Suits)	46
Brown-Ones & Brown (6 Suits)	46
Brown-Ones & White (6 Suits)	46
Null & Gray (6 Suits)	46
White-Ones & Prism (6 Suits)	46
White & Gray Pink (5 Suits)	46
Muddy Rainbow & Dark Omni (5 Suits)	46
Prism Reversed (3 Suits)	45
Muddy Rainbow & Gray (6 Suits)	45
Brown-Ones & Pink (5 Suits)	45
Brown-Ones & Gray (5 Suits)	45
Rainbow-Ones & Dark Rainbow (5 Suits)	45
White-Ones & White (5 Suits)	45
Brown-Ones (6 Suits)	45
White-Ones & Prism (5 Suits)	45
White-Ones & Dark Brown (5 Suits)	45
White Reversed (3 Suits)	45
Omni & Prism (6 Suits)	44
Dark Rainbow & Dark Brown (6 Suits)	44
Ambiguous & Light Pink (5 Suits)	44
White & Muddy Rainbow (4 Suits)	44
Alternating Clues & Pink (6 Suits)	44
White-Ones & Pink (5 Suits)	44
Brown-Fives (6 Suits)	44
Clue Starved & White (6 Suits)	44
Deceptive-Fives & Dark Brown (6 Suits)	43
Dark Pink & Gray Pink (6 Suits)	43
Very Ambiguous & Light Pink (4 Suits)	43
Rainbow & Light Pink (3 Suits)	43
Light Pink & Prism (5 Suits)	43
Pink-Ones (4 Suits)	43
Pink-Fives & Dark Omni (6 Suits)	42
Light Pink & Dark Prism (5 Suits)	42
Rainbow-Ones & Rainbow (5 Suits)	42
Rainbow-Ones & Brown (6 Suits)	42
Prism & Dark Pink (5 Suits)	42
White-Ones (3 Suits)	42
Number Mute (3 Suits)	42
Brown-Ones & Black (5 Suits)	42
Omni & Dark Null (6 Suits)	42
Deceptive-Fives & Rainbow (6 Suits)	42
Deceptive-Fives & Brown (6 Suits)	42
Pink-Fives & Gray Pink (6 Suits)	42
Brown-Ones & Pink (6 Suits)	42
Brown-Fives (4 Suits)	41
Alternating Clues & Dark Rainbow (5 Suits)	41
Ambiguous & Brown (3 Suits)	41
Brown & Muddy Rainbow (3 Suits)	41
Color Mute (4 Suits)	41
Muddy Rainbow & Dark Pink (6 Suits)	41
Omni & Dark Null (5 Suits)	41
Omni & Dark Pink (6 Suits)	41
Throw It in a Hole & White (5 Suits)	41
White-Ones & Brown (4 Suits)	41
White-Ones & Dark Pink (5 Suits)	41
White-Ones & Light Pink (5 Suits)	41
Brown-Ones & Dark Brown (6 Suits)	40
White-Ones & Rainbow (4 Suits)	40
Throw It in a Hole & Rainbow (6 Suits)	40
Pink-Ones & Light Pink (5 Suits)	40
Extremely Ambiguous & Dark Brown (6 Suits)	40
Muddy-Rainbow-Ones (5 Suits)	40
White-Ones & Pink (6 Suits)	40
Rainbow Reversed (3 Suits)	40
Omni & Prism (5 Suits)	40
Dark Null & Cocoa Rainbow (6 Suits)	39
Muddy-Rainbow-Fives (6 Suits)	39
Pink-Ones & Brown (5 Suits)	39
Null-Fives & White (6 Suits)	39
Pink-Ones & Dark Rainbow (6 Suits)	39
White-Fives & Rainbow (6 Suits)	39
Dual-Color & Prism (4 Suits)	39
Omni & Cocoa Rainbow (6 Suits)	39
Null & Dark Rainbow (6 Suits)	39
Dual-Color & Brown (4 Suits)	38
Brown-Ones & Dark Omni (6 Suits)	38
Omni & Prism (4 Suits)	38
Muddy-Rainbow-Fives (5 Suits)	38
Prism & Gray Pink (5 Suits)	38
White-Ones & Cocoa Rainbow (6 Suits)	37
Brown-Ones & Rainbow (4 Suits)	37
Brown-Fives & Black (6 Suits)	37
Rainbow-Ones & Rainbow (4 Suits)	37
Null-Fives & Dark Brown (5 Suits)	37
White-Ones & Dark Brown (6 Suits)	36
Deceptive-Ones (4 Suits)	36
White-Fives & Rainbow (5 Suits)	36
Muddy Rainbow & Dark Prism (6 Suits)	36
Pink-Ones & Rainbow (4 Suits)	36
Brown-Ones & Brown (5 Suits)	36
Rainbow-Ones & Dark Pink (6 Suits)	36
Rainbow-Ones & Dark Prism (6 Suits)	36
Rainbow-Ones & Gray (6 Suits)	36
